STATEFP,COUNTYFP,COUNTYNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
39,063,01074044,39063,0500000US39063,Hancock,Hancock County,06,H1,G4020,248,22300,,A,1376122055,6024245,+41.0002170,-083.6659471
39,003,01074015,39003,0500000US39003,Allen,Allen County,06,H1,G4020,338,30620,,A,1042587391,11152061,+40.7716274,-084.1061032
39,085,01074055,39085,0500000US39085,Lake,Lake County,06,H1,G4020,184,17410,,A,594129618,1942308103,+41.7781416,-081.1973297
39,047,01074036,39047,0500000US39047,Fayette,Fayette County,06,H1,G4020,198,47920,,A,1052469885,1694038,+39.5552462,-083.4618927
39,017,01074021,39017,0500000US39017,Butler,Butler County,06,H1,G4020,178,17140,,A,1208270096,9196537,+39.4397469,-084.5657341
39,115,01074070,39115,0500000US39115,Morgan,Morgan County,06,H1,G4020,,,,A,1078538281,13868572,+39.6249458,-081.8616967
39,133,01074079,39133,0500000US39133,Portage,Portage County,06,H1,G4020,184,10420,,A,1262380881,43125138,+41.1689703,-081.1969618
39,145,01074085,39145,0500000US39145,Scioto,Scioto County,06,H1,G4020,170,39020,,A,1580293392,16072294,+38.8148886,-082.9986750
39,163,01074093,39163,0500000US39163,Vinton,Vinton County,06,H1,G4020,,,,A,1068008170,6781751,+39.2520418,-082.4859614
39,125,01074075,39125,0500000US39125,Paulding,Paulding County,06,H1,G4020,,,,A,1078561236,6245396,+41.1189483,-084.5821249
39,069,01074047,39069,0500000US39069,Henry,Henry County,06,H1,G4020,,,,A,1077469003,9680060,+41.3315843,-084.0688996
39,051,01074038,39051,0500000US39051,Fulton,Fulton County,06,H1,G4020,,45780,,A,1050110444,4579039,+41.5972639,-084.1242667
39,015,01074020,39015,0500000US39015,Brown,Brown County,06,H1,G4020,178,17140,,A,1267911783,8879057,+38.9313769,-083.8667723
39,091,01074058,39091,0500000US39091,Logan,Logan County,06,H1,G4020,198,13340,,A,1187522540,21594566,+40.3875532,-083.7663430
39,155,01074089,39155,0500000US39155,Trumbull,Trumbull County,06,H1,G4020,566,49660,,A,1599552770,47777544,+41.3063744,-080.7703998
39,131,01074078,39131,0500000US39131,Pike,Pike County,06,H1,G4020,,,,A,1140325074,9566957,+39.0713413,-083.0529107
39,111,01074068,39111,0500000US39111,Monroe,Monroe County,06,H1,G4020,,,,A,1180317743,4495411,+39.7262526,-081.0909834
39,087,01074056,39087,0500000US39087,Lawrence,Lawrence County,06,H1,G4020,170,26580,,A,1174282179,10029914,+38.6038659,-082.5171856
39,001,01074014,39001,0500000US39001,Adams,Adams County,06,H1,G4020,,,,A,1512221259,6250109,+38.8344683,-083.4780816
39,033,01074029,39033,0500000US39033,Crawford,Crawford County,06,H1,G4020,360,15340,,A,1040619655,2359514,+40.8485244,-082.9247827
39,059,01074042,39059,0500000US39059,Guernsey,Guernsey County,06,H1,G4020,198,15740,,A,1352599522,15666081,+40.0566648,-081.4978750
39,161,01074092,39161,0500000US39161,Van Wert,Van Wert County,06,H1,G4020,338,46780,,A,1059692859,3287921,+40.8555203,-084.5857751
39,129,01074077,39129,0500000US39129,Pickaway,Pickaway County,06,H1,G4020,198,18140,,A,1298270764,13694541,+39.6489470,-083.0528267
39,119,01074072,39119,0500000US39119,Muskingum,Muskingum County,06,H1,G4020,198,49780,,A,1721165824,20823924,+39.9660457,-081.9435064
39,139,01074082,39139,0500000US39139,Richland,Richland County,06,H1,G4020,360,31900,,A,1282631595,12560134,+40.7741590,-082.5427812
39,021,01074023,39021,0500000US39021,Champaign,Champaign County,06,H1,G4020,212,46500,,A,1111045220,2180178,+40.1327753,-083.7676037
39,169,01074096,39169,0500000US39169,Wayne,Wayne County,06,H1,G4020,184,49300,,A,1436897058,5040384,+40.8296612,-081.8871942
39,123,01074074,39123,0500000US39123,Ottawa,Ottawa County,06,H1,G4020,184,41780,,A,659675100,855668003,+41.5454953,-083.0126127
39,067,01074046,39067,0500000US39067,Harrison,Harrison County,06,H1,G4020,,,,A,1042032638,21847163,+40.2923175,-081.0915651
39,023,01074024,39023,0500000US39023,Clark,Clark County,06,H1,G4020,212,44220,,A,1025322040,14608568,+39.9170315,-083.7836760
39,073,01074049,39073,0500000US39073,Hocking,Hocking County,06,H1,G4020,198,18140,,A,1091289822,5955974,+39.4903424,-082.4834473
39,109,01074067,39109,0500000US39109,Miami,Miami County,06,H1,G4020,212,19430,,A,1053040432,7924793,+40.0533257,-084.2284135
39,041,01074033,39041,0500000US39041,Delaware,Delaware County,06,H1,G4020,198,18140,,A,1147743707,36698376,+40.2789411,-083.0074622
39,037,01074031,39037,0500000US39037,Darke,Darke County,06,H1,G4020,212,24820,,A,1549077539,4244898,+40.1314669,-084.6211906
39,057,01074041,39057,0500000US39057,Greene,Greene County,06,H1,G4020,212,19430,,A,1071302627,6798109,+39.6874785,-083.8948943
39,005,01074016,39005,0500000US39005,Ashland,Ashland County,06,H1,G4020,360,11740,,A,1095528191,9969109,+40.8432730,-082.2701271
39,095,01074060,39095,0500000US39095,Lucas,Lucas County,06,H1,G4020,,45780,,A,879721719,663490659,+41.6823213,-083.4689033
39,007,01074017,39007,0500000US39007,Ashtabula,Ashtabula County,06,H1,G4020,184,17410,,A,1819252264,1724330055,+41.9066369,-080.7455916
39,135,01074080,39135,0500000US39135,Preble,Preble County,06,H1,G4020,,,,A,1098741137,6062721,+39.7388104,-084.6447584
39,079,01074052,39079,0500000US39079,Jackson,Jackson County,06,H1,G4020,,,,A,1088598926,3167846,+39.0134773,-082.6141420
39,151,01065576,39151,0500000US39151,Stark,Stark County,06,H1,G4020,184,15940,,A,1489777071,13614724,+40.8141314,-081.3656673
39,099,01074062,39099,0500000US39099,Mahoning,Mahoning County,06,H1,G4020,566,49660,,A,1065747115,35461694,+41.0108798,-080.7703956
39,157,01074090,39157,0500000US39157,Tuscarawas,Tuscarawas County,06,H1,G4020,184,35420,,A,1469987543,10363043,+40.4474395,-081.4711663
39,071,01074048,39071,0500000US39071,Highland,Highland County,06,H1,G4020,,,,A,1432479978,12194983,+39.1844221,-083.6013590
39,117,01074071,39117,0500000US39117,Morrow,Morrow County,06,H1,G4020,198,18140,,A,1051881045,2819351,+40.5252659,-082.7977288
39,101,01074063,39101,0500000US39101,Marion,Marion County,06,H1,G4020,198,32020,,A,1045855309,908577,+40.5880337,-083.1688034
39,127,01074076,39127,0500000US39127,Perry,Perry County,06,H1,G4020,198,18140,,A,1056560151,11774320,+39.7431874,-082.2379525
39,043,01074034,39043,0500000US39043,Erie,Erie County,06,H1,G4020,184,41780,,A,650833151,969939816,+41.3941426,-082.5868354
39,027,01074026,39027,0500000US39027,Clinton,Clinton County,06,H1,G4020,178,48940,,A,1058609497,9329331,+39.4166813,-083.8045826
39,093,01074059,39093,0500000US39093,Lorain,Lorain County,06,H1,G4020,184,17410,,A,1270483156,1119495057,+41.4388045,-082.1797220
