station_id,name,lat,lon,precip_mm_2025
US1OHAB0021,ASHTABULA 1.8 NNE,41.9037,-80.7829,910.4
US1OHAD0005,SEAMAN 3.4 E,38.9399,-83.509,1270.7
US1OHAD0006,PEEBLES 4.2 N,39.0075,-83.4146,1174.8
US1OHAL0005,LIMA 2.7 NE,40.7739,-84.08,904.3
US1OHAL0008,DELPHOS 2.3 ESE,40.8335,-84.2982,711.4
US1OHAL0010,LIMA 3.0 SSE,40.7009,-84.0966,715.5
US1OHAL0014,LIMA 7.3 SE,40.6561,-84.0334,862.2
US1OHAS0002,ASHLAND 3.9 SW,40.8326,-82.3763,800.6
US1OHAS0007,POLK 5.5 S,40.8661,-82.2003,760.5
US1OHAS0008,NOVA 3.8 WSW,41.0124,-82.3735,991.6
US1OHAT0003,STEWART 4.6 NNE,39.3718,-81.8662,1184.5
US1OHAT0005,AMESVILLE 2.6 SE,39.3722,-81.9231,1158.8
US1OHAT0006,ALBANY 4.1 NW,39.2728,-82.243,1028.6
US1OHAT0009,GLOUSTER 3.6 SW,39.4676,-82.1336,1230.7
US1OHAT0016,ATHENS 2.3 SSE,39.294,-82.0793,1066.8
US1OHAT0020,CHAUNCEY 1.6 SE,39.3818,-82.1078,1173.6
US1OHAT0021,ATHENS 4.6 ESE,39.3099,-82.0128,1431.6
US1OHAT0028,ATHENS 6.0 NW,39.3732,-82.1896,1244.7
US1OHBR0017,GEORGETOWN 0.5 NE,38.8722,-83.8965,1166.2
US1OHBR0018,HAMERSVILLE 1.2 SE,38.9048,-83.9721,1255.4
US1OHBR0019,SARDINIA 0.5 ESE,39.0027,-83.7983,1238.3
US1OHBT0001,HAMILTON 4.7 E,39.3933,-84.477,1083.5
US1OHBT0022,HAMILTON 1.2 NNW,39.4077,-84.5712,975.2
US1OHBT0034,MIDDLETOWN 2.7 NNE,39.5387,-84.3465,1083.4
US1OHBT0037,BECKETT RIDGE 3.3 ESE,39.3266,-84.3797,1112.8
US1OHBT0039,HAMILTON 5.3 ENE,39.4263,-84.4764,1170.2
US1OHCB0008,HANOVERTON 0.4 ENE,40.757,-80.9292,1062.6
US1OHCB0010,LISBON 0.4 SW,40.7723,-80.7751,940.6
US1OHCB0018,WELLSVILLE 4.3 N,40.6644,-80.6424,953.4
US1OHCB0029,LEETONIA 1.9 SSW,40.8527,-80.7758,951.2
US1OHCB0031,WELLSVILLE 1.9 N,40.6307,-80.6597,1028.6
US1OHCC0004,FRESNO 2.2 NNE,40.3583,-81.7193,919.8
US1OHCC0008,WARSAW 6.0 WSW,40.2878,-82.0961,1085.1
US1OHCH0021,URBANA 0.3 E,40.108,-83.7458,1044.2
US1OHCK0013,SPRINGFIELD 7.4 SW,39.8599,-83.9045,934.7
US1OHCK0020,SPRINGFIELD 6.4 SW,39.8671,-83.8884,968.6
US1OHCK0024,SOUTH CHARLESTON 3.8 NNW,39.8775,-83.662,1071.3
US1OHCK0028,SOUTH CHARLESTON 3.5 NW,39.8562,-83.697,1037.7
US1OHCM0018,WITHAMSVILLE 1.4 NW,39.0715,-84.29,1197.6
US1OHCM0021,LOVELAND 2.1 S,39.2368,-84.2668,1224.8
US1OHCM0025,LOVELAND 3.1 SE,39.233,-84.2373,1237.0
US1OHCM0031,WILLIAMSBURG 1.4 ESE,39.0428,-84.029,1393.9
US1OHCM0033,LOVELAND 5.2 SE,39.2227,-84.1948,1257.0
US1OHCN0006,WILMINGTON 3.6 W,39.442,-83.8988,1098.7
US1OHCN0010,WILMINGTON 2.2 N,39.4745,-83.8361,1101.9
US1OHCN0014,WILMINGTON 7.4 NNW,39.5461,-83.8728,1226.8
US1OHCN0015,WILMINGTON 3.6 W,39.4365,-83.8983,1224.1
US1OHCN0017,CLARKSVILLE 3.9 ENE,39.4184,-83.9127,1180.6
US1OHCN0024,MIDLAND 2.9 S,39.2651,-83.9202,1402.5
US1OHCR0005,CARROLLTON 0.9 NNE,40.5909,-81.0827,882.9
US1OHCR0007,CARROLLTON 7.2 NNE,40.6781,-81.0449,961.3
US1OHCW0003,BUCYRUS 1.0 NW,40.8146,-82.9848,970.8
US1OHCW0006,BUCYRUS 8.7 NE,40.9036,-82.8745,986.4
US1OHCY0024,PARMA 1.9 NNW,41.4088,-81.7448,1205.9
US1OHCY0041,LAKEWOOD 1.3 SSW,41.4667,-81.8112,1092.8
US1OHCY0042,STRONGSVILLE 1.3 SE,41.2981,-81.8151,1000.7
US1OHCY0048,HIGHLAND HILLS 0.8 W,41.4473,-81.5337,1375.1
US1OHCY0053,BEREA 1.1 NW,41.3821,-81.8758,773.4
US1OHCY0079,WESTLAKE 3.0 SW,41.419,-81.9635,1023.2
US1OHCY0082,RICHMOND HEIGHTS 0.9 NNE,41.5707,-81.4989,1079.4
US1OHDL0010,SUNBURY 5.7 ESE,40.2001,-82.7732,1130.1
US1OHDL0012,LEWIS CENTER 1.4 E,40.1967,-82.9835,898.2
US1OHDL0013,GALENA 3.0 WNW,40.2337,-82.9362,814.5
US1OHDL0032,POWELL 0.9 NNW,40.1719,-83.0753,1009.7
US1OHDL0035,NEW ALBANY 4.0 NE,40.1265,-82.7629,1018.8
US1OHDL0036,MAGNETIC SPRINGS 2.1 NNE,40.3813,-83.2483,810.2
US1OHDL0037,SUNBURY 4.8 WNW,40.2826,-82.9422,923.9
US1OHDL0039,POWELL 5.3 NW,40.2238,-83.1236,911.2
US1OHDL0047,DELAWARE 0.7 NE,40.3053,-83.0711,809.9
US1OHDR0001,BRADFORD 2.3 NW,40.1526,-84.4613,924.3
US1OHDR0007,VERSAILLES 1.6 WSW,40.2181,-84.5139,948.1
